INSTNM,OPEID6,CONTROL,MAIN,CIPDEF,CIPFIELD,CIPCODE,CREDLEV,EARN_COUNT_NWNE_HI_1YR,EARN_CNTOVER150_HI_1YR,EARN_COUNT_WNE_HI_1YR,EARN_MDN_HI_1YR,EARN_COUNT_NWNE_HI_2YR,EARN_CNTOVER150_HI_2YR,EARN_COUNT_WNE_HI_2YR,EARN_MDN_HI_2YR,EARN_COUNT_PELL_WNE_1YR,EARN_PELL_WNE_MDN_1YR,EARN_COUNT_NOPELL_WNE_1YR,EARN_NOPELL_WNE_MDN_1YR,EARN_COUNT_MALE_WNE_1YR,EARN_MALE_WNE_MDN_1YR,EARN_COUNT_NOMALE_WNE_1YR,EARN_NOMALE_WNE_MDN_1YR,EARN_COUNT_NE_3YR,EARN_NE_MDN_3YR,EARN_COUNT_WNE_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_PELL_NE_3YR,EARN_PELL_NE_MDN_3YR,EARN_COUNT_NOPELL_NE_3YR,EARN_NOPELL_NE_MDN_3YR,EARN_COUNT_MALE_NE_3YR,EARN_MALE_NE_MDN_3YR,EARN_COUNT_NOMALE_NE_3YR,EARN_NOMALE_NE_MDN_3YR,EARN_COUNT_NWNE_1YR,EARN_COUNT_WNE_1YR,EARN_MDN_1YR,EARN_GT_THRESHOLD_1YR,EARN_COUNT_HIGH_CRED_1YR,EARN_IN_STATE_1YR,EARN_COUNT_NWNE_4YR,EARN_COUNT_WNE_4YR,EARN_MDN_4YR,EARN_GT_THRESHOLD_4YR,EARN_COUNT_PELL_WNE_4YR,EARN_PELL_WNE_MDN_4YR,EARN_COUNT_NOPELL_WNE_4YR,EARN_NOPELL_WNE_MDN_4YR,EARN_COUNT_MALE_WNE_4YR,EARN_MALE_WNE_MDN_4YR,EARN_COUNT_NOMALE_WNE_4YR,EARN_NOMALE_WNE_MDN_4YR,EARN_COUNT_HIGH_CRED_4YR,EARN_IN_STATE_4YR
Brigham Young University,3670,"Private, nonprofit",1,ENGINEERING.,14,1410,3,0.0,30.0,32.0,66731.0,0.0,45.0,47.0,71351.0,30.0,75091.0,,,30.0,75949.0,,,49.0,76659.0,47.0,46.0,47.0,77119.0,,,47.0,78494.0,,,5.0,31.0,75488.0,,,,3.0,49.0,95202.0,,46.0,92705.0,,,47.0,98834.0,,,,21.0
Brigham Young University,3670,"Private, nonprofit",1,ENGINEERING.,14,1419,3,1.0,122.0,131.0,63211.0,2.0,78.0,84.0,67772.0,144.0,65990.0,,,142.0,65941.0,,,88.0,80068.0,73.0,70.0,86.0,80058.0,,,82.0,80340.0,,,5.0,151.0,65881.0,130.0,,,6.0,102.0,87666.0,,100.0,87567.0,,,98.0,87597.0,,,32.0,28.0
Brigham Young University,3670,"Private, nonprofit",1,ENGINEERING.,14,1436,3,2.0,39.0,40.0,65857.0,4.0,81.0,83.0,65486.0,55.0,66924.0,,,56.0,67257.0,,,83.0,72317.0,81.0,79.0,81.0,72197.0,,,79.0,72362.0,,,1.0,59.0,67138.0,,,,2.0,81.0,80317.0,,78.0,80648.0,,,76.0,80737.0,,,,43.0
Brigham Young University,3670,"Private, nonprofit",1,ENGINEERING.,14,1447,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",16,1601,3,13.0,40.0,58.0,29068.0,12.0,45.0,71.0,28164.0,43.0,35088.0,,,,,37.0,34038.0,82.0,31311.0,65.0,49.0,76.0,30393.0,,,35.0,48015.0,47.0,13825.0,7.0,52.0,33247.0,28.0,,,15.0,75.0,50095.0,54.0,67.0,46621.0,,,37.0,57784.0,38.0,37001.0,,40.0
Brigham Young University,3670,"Private, nonprofit",1,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",16,1603,3,3.0,,,,7.0,29.0,32.0,39153.0,,,,,,,,,35.0,39376.0,29.0,23.0,29.0,44207.0,,,24.0,56458.0,,,2.0,,,,,,8.0,28.0,60008.0,,22.0,57176.0,,,20.0,74003.0,,,,
Brigham Young University,3670,"Private, nonprofit",1,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",16,1604,3,1.0,19.0,23.0,42391.0,2.0,20.0,25.0,39153.0,17.0,49328.0,,,,,,,27.0,58455.0,23.0,20.0,25.0,57719.0,,,22.0,58977.0,,,4.0,18.0,49724.0,,,,2.0,29.0,66679.0,,26.0,67501.0,,,24.0,70232.0,,,,
Brigham Young University,3670,"Private, nonprofit",1,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",16,1605,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",16,1609,3,9.0,53.0,72.0,35254.0,8.0,60.0,78.0,39909.0,79.0,37723.0,,,47.0,47743.0,37.0,31260.0,73.0,47197.0,54.0,47.0,71.0,46827.0,,,47.0,58718.0,,,7.0,84.0,37715.0,50.0,,,11.0,72.0,61951.0,,68.0,61908.0,,,54.0,70716.0,18.0,39512.0,17.0,37.0
Brigham Young University,3670,"Private, nonprofit",1,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",16,1611,3,5.0,,19.0,37329.0,4.0,13.0,21.0,26353.0,,,,,,,,,26.0,27598.0,18.0,,26.0,27593.0,,,16.0,31896.0,,,3.0,,,,,,4.0,23.0,50216.0,,22.0,51146.0,,,16.0,52373.0,,,,
